OBJECTID,Title,Description,LON,LAT,Image URL,Link URL,Link Label,SOURCE,STATUS_1
3650,קרית גת,תחנת רכבת קרית גת,34.77784719,31.60341412,,,לפרוייקטים בתחנה/מקטע,תתל/ 3/ 4/ 9/ א,נוסעים
3651,רמת חובב,תחנת רכבת רמת חובב,34.79178833,31.14110497,,,לפרוייקטים בתחנה/מקטע,40/110/03/19,מסוף מטענים
3652,קרית גת החדשה,תחנת רכבת קרית גת החדשה,34.76046923,31.59911238,,,לפרוייקטים בתחנה/מקטע,6 /03 /110,בתכנון
3653,שלווה,תחנת רכבת שלווה,34.77421756,31.56588793,,,לפרוייקטים בתחנה/מקטע,צו 4,הסטורית
3654,נחל שורק,תחנת רכבת נחל שורק,34.87676574,31.80502416,,,לפרוייקטים בתחנה/מקטע,הסטורית,תפעולית
3655,הר צין,תחנת רכבת הר צין,35.08633768,30.84023084,,,לפרוייקטים בתחנה/מקטע,תכנית 4/115/03/10,מסוף מטענים
3658,דבירה,תחנת רכבת דבירה,34.79137843,31.42263096,,,לפרוייקטים בתחנה/מקטע,מפת ענפים,תפעולית
3659,צפון מטרופולין מסילה מזרחית,תחנת רכבת צפון מטרופולין מסילה מזרחית,34.96459655,32.21214547,,,לפרוייקטים בתחנה/מקטע,תתל/22,מסוף בתכנון
3660,מסוף ראש העין דרום,תחנת רכבת מסוף ראש העין דרום,34.93455619,32.10372321,,,לפרוייקטים בתחנה/מקטע,תתל/22,מסוף מטענים
3661,שוהם,תחנת רכבת שוהם,34.90795522,31.99527186,,,לפרוייקטים בתחנה/מקטע,תתל/ 22,בתכנון
3662,באר יעקב,תחנת רכבת באר יעקב,34.82854532,31.93284531,,,לפרוייקטים בתחנה/מקטע,מח/ 120,נוסעים
3663,יבנה מזרח,תחנת רכבת יבנה מזרח,34.74402372,31.86179213,,,לפרוייקטים בתחנה/מקטע,מח/ 140,נוסעים
3664,בצת,תחנת רכבת בצת,35.10641253,33.06771713,,,לפרוייקטים בתחנה/מקטע,תחנה הסטורית,הסטורית
3665,עפולה ישן,תחנת רכבת עפולה ישן,35.29010263,32.61053684,,,לפרוייקטים בתחנה/מקטע,תחנה הסטורית,הסטורית
3666,מתחם קישון (סדנאות אפריים),תחנת רכבת מתחם קישון (סדנאות אפריים),35.05239204,32.8106807,,,לפרוייקטים בתחנה/מקטע,"חפ/ 222, תתל/ 45",תפעולית
3667,הוד השרון סוקולוב,תחנת רכבת הוד השרון סוקולוב,34.90148292,32.17020201,,,לפרוייקטים בתחנה/מקטע,הר/113/1,נוסעים
3668,יבנה צפון,תחנת רכבת יבנה צפון,34.76923558,31.88207281,,,לפרוייקטים בתחנה/מקטע,מח/ 140,תפעולית
3669,תל אביב - סבידור מרכז,תחנת רכבת תל אביב - סבידור מרכז,34.79825161,32.08381441,,,לפרוייקטים בתחנה/מקטע,צו 6/תא 2000,נוסעים
3670,פתח תקווה קרית אריה,תחנת רכבת פתח תקווה קרית אריה,34.86310124,32.10613246,,,לפרוייקטים בתחנה/מקטע,מח/ 113,נוסעים
3671,"נתב""ג","תחנת רכבת נתב""ג",34.87065718,32.00066558,,,לפרוייקטים בתחנה/מקטע,תמא/2/4,נוסעים
3674,ראשון לציון משה דיין,תחנת רכבת ראשון לציון משה דיין,34.75737907,31.98786099,,,לפרוייקטים בתחנה/מקטע,מח/147 או תדמת 2001,נוסעים
3675,כרמיאל,תחנת רכבת כרמיאל,35.2971324,32.92402924,,,לפרוייקטים בתחנה/מקטע,תתל 12/ 2,נוסעים
3676,כרמיאל מחוז צפון מרכז,תחנת רכבת כרמיאל מחוז צפון מרכז,35.33828795,32.92945784,,,לפרוייקטים בתחנה/מקטע,217-0660522,מסוף בתכנון
3677,ראש פינה צחר,תחנת רכבת ראש פינה צחר,35.56010962,32.97957217,,,לפרוייקטים בתחנה/מקטע,217-0660522,בתכנון
3679,קרית שמונה,תחנת רכבת קרית שמונה,35.58271466,33.20692864,,,לפרוייקטים בתחנה/מקטע,217-0660522,בתכנון
3680,אחיהוד,תחנת רכבת אחיהוד,35.17397171,32.91146926,,,לפרוייקטים בתחנה/מקטע,תתל/ 12/ 2,נוסעים
3681,רעננה מערב,תחנת רכבת רעננה מערב,34.8508006,32.17999941,,,לפרוייקטים בתחנה/מקטע,תתל/ 15,נוסעים
